,Unnamed: 0,Years,Cancer Type,State,County,FIPS,Met Health Obj,Age-Adjusted Incident Rate,Lower 95% Confidence Interval,Lower 95% Confidence Interval.1,Upper 95% Confidence Interval,Upper 95% Confidence Interval.1,Average Annual Count,Recent Trend,Recent 5-Year Trend in Incidence Rates,Lower 95% Confidence Interval.2,Lower 95% Confidence Interval.3,Upper 95% Confidence Interval.2,Upper 95% Confidence Interval.3
9877,8, 2011-2015,Colon & Rectum,South Dakota,South Dakota,46000,No,42.6,40.8,-7.5,44.5,3.9,425,stable,-2,40.8,-7.5,44.5,3.9
9945,8, 2011-2015,Lung & Bronchus,South Dakota,South Dakota,46000,***,58.1,56,-4.5,60.3,3.4,584,stable,-0.6,56,-4.5,60.3,3.4
10013,8, 2011-2015,Prostate,Tennessee,Tennessee,47000,***,114.4,112.8,-13,116,0.6,4259,stable,-6.5,112.8,-13,116,0.6
10110,8, 2011-2015,Breast,Tennessee,Tennessee,47000,***,122.2,120.6,-2.6,123.8,2.5,4898,stable,-0.1,120.6,-2.6,123.8,2.5
10207,8, 2011-2015,Colon & Rectum,Tennessee,Tennessee,47000,No,40.4,39.7,-3.9,41.1,2.7,3024,stable,-0.6,39.7,-3.9,41.1,2.7
10304,8, 2011-2015,Lung & Bronchus,Tennessee,Tennessee,47000,***,75.7,74.9,-1.4,76.6,1.2,5845,stable,-0.1,74.9,-1.4,76.6,1.2
10401,8, 2011-2015,Breast,Texas,Texas,48000,***,111.7,110.9,-0.8,112.5,1.5,15257,stable,0.4,110.9,-0.8,112.5,1.5
10657,8, 2011-2015,Colon & Rectum,Texas,Texas,48000,Yes,38.1,37.8,-1.7,38.4,-0.5,9670,falling,-1.1,37.8,-1.7,38.4,-0.5
10913,8, 2011-2015,Lung & Bronchus,Texas,Texas,48000,***,53.1,52.7,-4.7,53.5,-1.1,13139,falling,-2.9,52.7,-4.7,53.5,-1.1
11169,8, 2011-2015,Prostate,Texas,Texas,48000,***,95.4,94.6,-9.5,96.2,-2.6,11572,falling,-6.1,94.6,-9.5,96.2,-2.6
11425,8, 2011-2015,Breast,Utah,Utah,49000,***,115.1,112.4,-0.2,117.8,0.2,1448,stable,0,112.4,-0.2,117.8,0.2
11456,8, 2011-2015,Colon & Rectum,Utah,Utah,49000,Yes,30.6,29.6,-3.8,31.7,-2.3,730,falling,-3.1,29.6,-3.8,31.7,-2.3
11487,8, 2011-2015,Lung & Bronchus,Utah,Utah,49000,***,27.6,26.6,-1.2,28.6,-0.6,647,falling,-0.9,26.6,-1.2,28.6,-0.6
11518,8, 2011-2015,Prostate,Utah,Utah,49000,***,120.9,118.1,-10.8,123.8,-6,1426,falling,-8.5,118.1,-10.8,123.8,-6
11549,8, 2011-2015,Breast,Vermont,Vermont,50000,***,130.4,125.4,-2.3,135.7,4.6,540,stable,1.1,125.4,-2.3,135.7,4.6
11565,8, 2011-2015,Colon & Rectum,Vermont,Vermont,50000,Yes,36.1,34.2,-9.5,38.1,1.1,288,stable,-4.3,34.2,-9.5,38.1,1.1
11581,8, 2011-2015,Lung & Bronchus,Vermont,Vermont,50000,***,63.4,60.9,-5.4,65.9,0.5,522,stable,-2.5,60.9,-5.4,65.9,0.5
11597,8, 2011-2015,Prostate,Vermont,Vermont,50000,***,92,87.8,-21.3,96.4,2,383,stable,-10.4,87.8,-21.3,96.4,2
11613,8, 2011-2015,Breast,Virginia,Virginia,51000,***,127.9,126.4,-2.6,129.4,2.8,6217,stable,0.1,126.4,-2.6,129.4,2.8
11748,8, 2011-2015,Colon & Rectum,Virginia,Virginia,51000,Yes,36,35.4,-5,36.6,1.4,3244,stable,-1.8,35.4,-5,36.6,1.4
11883,8, 2011-2015,Lung & Bronchus,Virginia,Virginia,51000,***,58.9,58.1,-5,59.6,-0.3,5330,falling,-2.7,58.1,-5,59.6,-0.3
12018,8, 2011-2015,Prostate,Virginia,Virginia,51000,***,102.8,101.4,-13.8,104.2,2.6,4616,stable,-6,101.4,-13.8,104.2,2.6
12153,8, 2011-2015,Breast,Washington,Washington,53000,***,135.3,133.6,-1.9,136.9,0.5,5485,stable,-0.7,133.6,-1.9,136.9,0.5
12194,8, 2011-2015,Colon & Rectum,Washington,Washington,53000,Yes,35.7,35.1,-4.4,36.3,-0.1,2740,falling,-2.3,35.1,-4.4,36.3,-0.1
12235,8, 2011-2015,Lung & Bronchus,Washington,Washington,53000,***,56.7,56,-5.1,57.5,-1.2,4337,falling,-3.2,56,-5.1,57.5,-1.2
12276,8, 2011-2015,Prostate,Washington,Washington,53000,***,106.8,105.3,-14,108.4,-4.1,4148,falling,-9.2,105.3,-14,108.4,-4.1
12317,8, 2011-2015,Breast,District of Columbia,District of Columbia,11001,***,139.7,134,-10.4,145.6,1.7,470,stable,-4.6,134,-10.4,145.6,1.7
12319,8, 2011-2015,Prostate,West Virginia,West Virginia,54000,***,94.7,92.3,-14.1,97.2,1,1177,stable,-6.9,92.3,-14.1,97.2,1
12376,8, 2011-2015,Colon & Rectum,West Virginia,West Virginia,54000,No,47,45.8,-2.5,48.3,2.3,1141,stable,-0.2,45.8,-2.5,48.3,2.3
12433,8, 2011-2015,Breast,West Virginia,West Virginia,54000,***,116.3,113.5,-2.3,119.1,3.5,1450,stable,0.6,113.5,-2.3,119.1,3.5
12490,8, 2011-2015,Lung & Bronchus,West Virginia,West Virginia,54000,***,80.3,78.7,-3.1,81.9,0.2,2039,stable,-1.5,78.7,-3.1,81.9,0.2
12547,8, 2011-2015,Breast,Wisconsin,Wisconsin,55000,***,129.7,127.9,-1.5,131.4,0.8,4512,stable,-0.3,127.9,-1.5,131.4,0.8
12621,8, 2011-2015,Colon & Rectum,Wisconsin,Wisconsin,55000,Yes,37.6,36.9,-3.8,38.2,-1.3,2548,falling,-2.5,36.9,-3.8,38.2,-1.3
12695,8, 2011-2015,Lung & Bronchus,Wisconsin,Wisconsin,55000,***,60,59.1,-2.8,60.8,-1.3,4132,falling,-2,59.1,-2.8,60.8,-1.3
12769,8, 2011-2015,Prostate,Wisconsin,Wisconsin,55000,***,111.6,110,-12.4,113.2,2.4,3815,stable,-5.3,110,-12.4,113.2,2.4
12843,8, 2011-2015,Breast,Wyoming,Wyoming,56000,***,112.6,107.3,-9.7,118,7.9,366,stable,-1.3,107.3,-9.7,118,7.9
12868,8, 2011-2015,Colon & Rectum,Wyoming,Wyoming,56000,Yes,33.3,31.3,-9.2,35.4,-1.1,212,falling,-5.3,31.3,-9.2,35.4,-1.1
12893,8, 2011-2015,Lung & Bronchus,Wyoming,Wyoming,56000,***,44.5,42.2,-10.5,46.9,5.3,288,stable,-2.9,42.2,-10.5,46.9,5.3
12918,8, 2011-2015,Prostate,Wyoming,Wyoming,56000,***,103,98.1,-15.5,108.1,7.5,356,stable,-4.7,98.1,-15.5,108.1,7.5
